"Symbol","Gene_Symbol","TR.MC.3","TR.MC.2","TR.MC.1","NCM.2","NCM.1","DC.3","DC.2","DC.1"
"ENSMUSG00000050965","Prkca",4.525312397,5.121513018,3.490521657,8.794491862,1.090407345,1.927927638,2.902204242,2.079354807
"ENSMUSG00000052889","Prkcb",168.6143797,188.5997169,168.8399105,512.7540535,480.4334762,59.12311425,56.10928202,42.3668542
"ENSMUSG00000021948","Prkcd",348.1391017,360.4904975,348.4328796,1154.259468,1000.267004,497.6909496,516.9551307,453.0394287
"ENSMUSG00000037060","Prkcdbp",14.69176764,16.64491731,16.15773735,15.90044129,49.06833052,3.998664732,3.385904949,4.418628966
"ENSMUSG00000045038","Prkce",0.991849292,1.984586294,1.40746841,9.779474951,1.45387646,5.92659237,6.590422133,6.757903124
"ENSMUSG00000078816","Prkcg",3.409481943,3.200945636,2.646040611,0,0.290775292,3.356022185,3.627755303,4.158709615
"ENSMUSG00000021108","Prkch",35.95453685,43.7889363,38.39573823,154.2905652,134.3381849,54.8388306,56.65344531,44.7711082
"ENSMUSG00000037643","Prkci",36.51245208,44.3010876,38.45203697,18.29254307,29.29561067,37.8445055,29.62666831,24.88727785
"ENSMUSG00000026778","Prkcq",1.301802196,1.344397167,0.900779783,0.14071187,2.18081469,0.642642546,0.846476237,0.519838702
"ENSMUSG00000003402","Prkcsh",40.9757739,36.93891264,40.70398642,41.72106939,50.66759463,52.62528406,48.55145847,51.72395083
"ENSMUSG00000029053","Prkcz",1.549764519,2.240661945,1.013377255,3.658508615,4.143547911,1.642308729,2.116190593,2.079354807
"ENSMUSG00000002688","Prkd1",0.185971742,0.192056738,0.112597473,0,0.145387646,0,0.725551061,0.064979838
"ENSMUSG00000041187","Prkd2",24.05234534,21.38231685,21.56241604,31.87123851,27.98712185,7.426091644,9.008925669,7.73260069
"ENSMUSG00000024070","Prkd3",92.5519371,107.4877545,98.35389251,54.45549361,146.0418904,116.4611103,102.5445499,90.0620551
